from_usuario_id,to_usuario_id,fecha_conexion,nivel,aceptada
u488,u698,2020-11-05,3er nivel,true
u698,u1551,2021-06-17,3er nivel,true
u1551,u501,2020-05-17,2do nivel,false
u501,u80,2025-07-02,2do nivel,false
u80,u1611,2023-02-19,3er nivel,false
u1611,u2027,2024-03-18,1er nivel,true
u2027,u1835,2021-06-25,3er nivel,true
u1835,u1025,2023-05-10,3er nivel,false
u1025,u1247,2020-02-12,2do nivel,true
u1247,u1335,2022-06-12,2do nivel,false
u1335,u1147,2020-11-26,1er nivel,true
u1147,u1463,2024-06-16,2do nivel,true
u1463,u1573,2022-07-09,1er nivel,true
u1573,u1094,2022-11-04,3er nivel,false
u1094,u936,2019-01-31,3er nivel,false
u936,u603,2020-10-24,3er nivel,true
u603,u2031,2023-11-21,3er nivel,true
u2031,u97,2023-06-16,1er nivel,false
u97,u717,2023-12-31,2do nivel,true
u717,u1229,2019-12-18,1er nivel,false
u1229,u1850,2021-01-27,2do nivel,false
u1850,u706,2020-05-15,1er nivel,false
u706,u893,2025-07-15,1er nivel,false
u893,u1567,2024-03-01,3er nivel,true
u1567,u1932,2023-03-09,2do nivel,false
u1932,u429,2020-01-09,3er nivel,false
u429,u566,2025-08-25,2do nivel,false
u566,u113,2020-11-16,3er nivel,false
u113,u1400,2021-11-14,1er nivel,false
u1400,u421,2020-07-29,1er nivel,true
u421,u1836,2024-06-05,1er nivel,true
u1836,u1804,2025-03-09,2do nivel,true
u1804,u469,2021-12-19,3er nivel,false
u469,u1612,2020-12-03,3er nivel,true
u1612,u1892,2020-10-25,1er nivel,true
u1892,u723,2025-12-03,1er nivel,false
u723,u1047,2020-12-06,2do nivel,false
u1047,u841,2020-03-11,3er nivel,true
u841,u766,2021-12-12,1er nivel,true
u766,u1631,2022-07-03,3er nivel,false
u1631,u208,2024-07-02,3er nivel,true
u208,u1859,2021-09-27,1er nivel,false
u1859,u1023,2023-01-26,2do nivel,true
u1023,u1272,2023-03-08,1er nivel,true
u1272,u777,2021-06-14,1er nivel,true
u777,u590,2022-02-23,1er nivel,true
u590,u2101,2019-03-06,1er nivel,true
u2101,u1982,2020-04-08,1er nivel,true
u1982,u953,2022-02-27,2do nivel,false
u953,u1193,2022-06-13,1er nivel,true
u1193,u1204,2022-03-01,1er nivel,false
u1204,u5,2024-05-12,3er nivel,true
u5,u27,2023-03-01,2do nivel,true
u27,u945,2020-06-29,2do nivel,false
u945,u1106,2019-04-07,3er nivel,true
u1106,u1596,2023-10-17,1er nivel,false
u1596,u1350,2025-04-26,2do nivel,false
u1350,u1174,2025-12-26,3er nivel,false
u1174,u199,2025-11-14,3er nivel,false
u199,u1469,2021-01-22,2do nivel,false
u1469,u1503,2025-08-20,2do nivel,false
u1503,u2036,2019-11-15,1er nivel,true
u2036,u1953,2022-11-25,1er nivel,false
u1953,u1378,2023-11-15,2do nivel,false
u1378,u1547,2024-01-25,1er nivel,false
u1547,u1525,2023-07-09,1er nivel,true
u1525,u210,2025-05-02,2do nivel,true
u210,u192,2019-06-14,2do nivel,true
u192,u177,2020-03-10,3er nivel,false
u177,u1243,2024-08-06,2do nivel,true
u1243,u1941,2022-12-29,3er nivel,true
u1941,u1412,2020-06-08,1er nivel,true
u1412,u1864,2019-09-28,1er nivel,false
u1864,u951,2019-02-03,3er nivel,false
u951,u1823,2020-08-06,1er nivel,false
u1823,u1622,2025-05-23,3er nivel,true
u1622,u271,2021-08-22,3er nivel,true
u271,u253,2021-05-11,3er nivel,true
u253,u914,2022-06-01,1er nivel,true
u914,u166,2020-04-02,2do nivel,true
u166,u731,2023-11-02,2do nivel,false
u731,u676,2022-06-13,3er nivel,false
u676,u633,2023-08-20,3er nivel,false
u633,u132,2019-06-12,2do nivel,true
u132,u1751,2020-04-03,3er nivel,false
u1751,u645,2019-10-06,1er nivel,true
u645,u209,2023-02-24,2do nivel,false
u209,u536,2020-06-09,1er nivel,true
u536,u333,2021-03-18,2do nivel,true
u333,u2151,2022-08-11,3er nivel,false
u2151,u908,2024-10-13,2do nivel,true
u908,u1475,2021-01-14,2do nivel,false
u1475,u1562,2020-06-17,1er nivel,false
u1562,u1583,2020-12-29,3er nivel,false
u1583,u1289,2022-10-20,3er nivel,false
u1289,u1993,2023-03-22,3er nivel,true
u1993,u2018,2024-01-01,1er nivel,false
u2018,u2173,2024-03-06,3er nivel,false
u2173,u1939,2022-11-19,1er nivel,true
u1939,u348,2023-01-02,3er nivel,false
u348,u2167,2019-09-26,1er nivel,false
u2167,u2052,2024-12-05,2do nivel,false
u2052,u254,2022-02-17,1er nivel,true
u254,u907,2020-10-01,3er nivel,false
u907,u1385,2021-12-02,3er nivel,false
