usuario_id,empresa_id,cargo,fecha_inicio,actual
u1960,e0,Intern,2017-11-01,false
u1241,e1,Senior Developer,2015-09-23,false
u2,e2,Director of Engineering,2017-03-14,true
u706,e3,Engineering Manager,2018-01-08,false
u1093,e4,Senior Developer,2021-04-10,true
u1343,e5,Director of Engineering,2018-11-06,false
u305,e6,Consultant,2018-12-28,false
u81,e7,Junior Developer,2018-10-21,false
u1659,e8,DevOps Engineer,2022-03-22,true
u517,e9,DevOps Engineer,2019-05-29,true
u291,e10,UX Designer,2022-08-22,false
u1115,e11,Software Engineer,2020-03-28,false
u640,e12,QA Engineer,2021-08-03,false
u156,e13,Product Owner,2017-04-06,true
u1065,e14,Junior Developer,2024-03-29,true
u662,e15,Software Engineer,2017-04-11,true
u749,e16,Software Engineer,2021-11-20,false
u308,e17,Consultant,2022-06-30,false
u1325,e18,DevOps Engineer,2021-10-03,false
u664,e19,Junior Developer,2024-09-13,true
u819,e20,Product Owner,2020-06-18,false
u1258,e21,Product Owner,2019-08-08,true
u1767,e22,QA Engineer,2022-09-13,false
u1145,e23,QA Engineer,2021-04-21,false
u709,e24,Software Engineer,2016-09-11,false
u1491,e25,DevOps Engineer,2022-08-10,false
u93,e26,Data Analyst,2019-04-11,true
u18,e27,Senior Developer,2016-09-12,false
u1176,e28,Engineering Manager,2020-09-02,true
u1314,e29,Software Engineer,2020-02-27,true
u270,e30,DevOps Engineer,2017-01-23,false
u167,e31,Intern,2015-11-21,true
u1383,e32,Product Owner,2022-08-08,false
u264,e33,Senior Developer,2016-08-01,true
u1200,e34,Data Analyst,2024-12-01,false
u91,e35,QA Engineer,2016-01-26,false
u1555,e36,QA Engineer,2019-01-22,true
u1786,e37,Senior Developer,2016-10-07,false
u973,e38,Engineering Manager,2020-06-13,false
u1240,e39,Intern,2017-11-07,false
u427,e40,Senior Developer,2024-09-05,true
u397,e41,Intern,2023-07-27,true
u1263,e42,QA Engineer,2016-12-15,true
u356,e43,Director of Engineering,2015-01-18,true
u1181,e44,Engineering Manager,2022-11-30,true
u1178,e45,Engineering Manager,2017-01-11,true
u848,e46,CTO,2017-02-23,false
u798,e47,CTO,2023-11-12,false
u1748,e48,QA Engineer,2023-08-05,false
u1783,e49,Consultant,2019-05-13,false
u419,e50,Software Engineer,2023-07-27,true
u116,e51,Director of Engineering,2019-01-03,false
u196,e52,Senior Developer,2022-10-22,false
u1483,e53,DevOps Engineer,2019-01-26,true
u1919,e54,QA Engineer,2019-04-14,false
u520,e55,Tech Lead,2022-02-22,false
u1628,e56,Director of Engineering,2021-06-15,true
u192,e57,DevOps Engineer,2024-02-03,false
u430,e58,Product Owner,2015-01-04,true
u1760,e59,UX Designer,2022-02-07,true
u813,e60,Junior Developer,2021-12-14,false
u971,e61,Junior Developer,2016-02-12,true
u1161,e62,Junior Developer,2020-08-10,false
u358,e63,Data Analyst,2024-10-29,false
u524,e64,Consultant,2020-07-28,false
u1033,e65,Director of Engineering,2022-03-13,false
u1274,e66,Director of Engineering,2019-05-15,false
u1545,e67,Tech Lead,2016-03-05,true
u469,e68,Engineering Manager,2015-04-10,true
u208,e69,Intern,2022-06-02,false
u1390,e70,Intern,2017-12-18,false
u473,e71,Tech Lead,2020-07-14,true
u1197,e72,Intern,2022-12-17,true
u1481,e73,Junior Developer,2020-03-25,false
u957,e74,DevOps Engineer,2021-12-06,false
u818,e75,QA Engineer,2017-03-09,true
u479,e76,Junior Developer,2015-07-18,true
u827,e77,Junior Developer,2023-12-08,false
u1706,e78,Junior Developer,2017-03-30,false
u1057,e79,DevOps Engineer,2022-05-24,true
u1597,e80,Senior Developer,2024-01-18,true
u291,e81,Tech Lead,2021-08-15,false
u339,e82,QA Engineer,2021-10-12,true
u1822,e83,Director of Engineering,2022-05-27,true
u837,e84,Director of Engineering,2024-07-07,false
u1136,e85,QA Engineer,2016-04-27,true
u1537,e86,Senior Developer,2020-01-10,false
u723,e87,Software Engineer,2017-06-28,true
u371,e88,Product Owner,2018-03-31,false
u985,e89,UX Designer,2022-02-12,true
u1960,e90,Consultant,2018-04-04,true
u1649,e91,DevOps Engineer,2022-10-18,true
u1293,e92,CTO,2021-09-16,true
