usuario_id,educacion_id,fecha_inicio,fecha_graduacion,graduado
u585,ed163,2016-01-01,2022-06-15,true
u2180,ed436,2006-01-01,,false
u559,ed189,2014-01-01,,false
u264,ed201,2014-01-01,,false
u1803,ed33,2010-01-01,2016-06-15,true
u2185,ed253,2009-01-01,2013-06-15,true
u432,ed87,2011-01-01,2017-06-15,true
u663,ed381,2020-01-01,,false
u1778,ed234,2008-01-01,2011-06-15,true
u1749,ed8,2015-01-01,2021-06-15,true
u133,ed152,2014-01-01,2018-06-15,true
u2042,ed43,2005-01-01,2009-06-15,true
u1969,ed310,2019-01-01,,false
u351,ed349,2012-01-01,,false
u243,ed9,2017-01-01,,false
u838,ed107,2018-01-01,2022-06-15,true
u95,ed157,2019-01-01,,false
u1698,ed233,2007-01-01,2013-06-15,true
u1905,ed238,2008-01-01,2014-06-15,true
u1260,ed16,2020-01-01,2026-06-15,true
u1012,ed122,2015-01-01,2020-06-15,true
u1125,ed47,2006-01-01,2011-06-15,true
u1568,ed390,2014-01-01,,false
u2034,ed325,2017-01-01,2023-06-15,true
u1923,ed324,2007-01-01,2012-06-15,true
u1616,ed284,2009-01-01,,false
u356,ed176,2018-01-01,,false
u813,ed194,2006-01-01,,false
u1080,ed382,2009-01-01,2013-06-15,true
u826,ed399,2017-01-01,,false
u1020,ed373,2019-01-01,2025-06-15,true
u1404,ed271,2012-01-01,2018-06-15,true
u178,ed206,2020-01-01,2026-06-15,true
u25,ed38,2016-01-01,2020-06-15,true
u301,ed94,2018-01-01,2023-06-15,true
u1843,ed441,2019-01-01,,false
u929,ed334,2015-01-01,,false
u1634,ed232,2013-01-01,,false
u1272,ed430,2011-01-01,2015-06-15,true
u2003,ed267,2010-01-01,,false
u1862,ed247,2013-01-01,2018-06-15,true
u28,ed36,2009-01-01,2015-06-15,true
u1209,ed397,2013-01-01,,false
u301,ed366,2006-01-01,,false
u1448,ed290,2013-01-01,2017-06-15,true
u1999,ed262,2013-01-01,2019-06-15,true
u179,ed90,2013-01-01,2019-06-15,true
u1119,ed407,2012-01-01,,false
u2065,ed332,2020-01-01,2026-06-15,true
u504,ed280,2010-01-01,2016-06-15,true
u2131,ed231,2012-01-01,,false
u427,ed200,2015-01-01,,false
u907,ed124,2019-01-01,,false
u417,ed273,2015-01-01,2018-06-15,true
u424,ed69,2009-01-01,,false
u355,ed281,2010-01-01,,false
u1338,ed98,2016-01-01,2019-06-15,true
u433,ed241,2017-01-01,,false
u1897,ed164,2012-01-01,2018-06-15,true
u1815,ed175,2016-01-01,,false
u1608,ed61,2020-01-01,,false
u113,ed255,2012-01-01,2016-06-15,true
u541,ed71,2006-01-01,2012-06-15,true
u583,ed158,2016-01-01,,false
u1422,ed420,2013-01-01,,false
u817,ed72,2018-01-01,2021-06-15,true
u1401,ed30,2017-01-01,2020-06-15,true
u1661,ed126,2010-01-01,2013-06-15,true
u137,ed378,2013-01-01,,false
u859,ed128,2019-01-01,,false
u1533,ed448,2005-01-01,,false
u407,ed393,2017-01-01,,false
u2057,ed400,2014-01-01,2017-06-15,true
u896,ed301,2011-01-01,2017-06-15,true
u363,ed342,2013-01-01,2016-06-15,true
u1161,ed219,2020-01-01,,false
u724,ed220,2010-01-01,2013-06-15,true
u1835,ed218,2015-01-01,2019-06-15,true
u1851,ed134,2020-01-01,2023-06-15,true
u480,ed116,2019-01-01,,false
u2057,ed406,2020-01-01,2024-06-15,true
u523,ed403,2005-01-01,,false
