empresa_id,empleo_id,fecha_publicacion,urgente,remunerado
e98,j0,2024-05-04,true,true
e16,j1,2023-01-23,false,false
e13,j2,2026-03-22,false,true
e182,j3,2025-12-25,true,false
e388,j4,2024-08-15,false,false
e294,j5,2023-02-13,true,true
e462,j6,2022-04-13,false,true
e483,j7,2025-11-30,true,false
e460,j8,2023-11-01,false,true
e266,j9,2023-09-24,false,true
e356,j10,2026-02-20,false,true
e72,j11,2025-09-23,false,false
e396,j12,2025-01-13,true,false
e474,j13,2024-01-28,true,false
e227,j14,2023-02-01,false,true
e347,j15,2023-05-07,true,false
e361,j16,2026-09-06,false,false
e268,j17,2024-08-06,false,true
e471,j18,2022-04-16,true,true
e259,j19,2022-06-19,true,false
e93,j20,2025-10-20,true,true
e101,j21,2025-12-04,true,false
e161,j22,2022-08-05,false,true
e388,j23,2022-12-09,true,true
e246,j24,2026-11-16,true,true
e81,j25,2022-07-23,true,true
e227,j26,2022-09-08,false,true
e146,j27,2025-09-07,false,true
e46,j28,2026-04-03,true,true
e326,j29,2022-10-15,true,false
e80,j30,2025-12-14,false,true
e404,j31,2024-09-12,true,true
e366,j32,2025-08-28,false,true
e161,j33,2024-12-29,false,true
e283,j34,2022-06-20,false,false
e337,j35,2024-06-26,true,true
e309,j36,2023-09-06,true,true
e263,j37,2023-04-13,false,true
e209,j38,2026-06-07,true,false
e370,j39,2022-04-23,true,false
e460,j40,2023-08-14,false,false
e488,j41,2025-05-03,false,true
e405,j42,2026-01-12,true,false
e20,j43,2023-10-15,true,true
e265,j44,2023-04-26,false,true
e175,j45,2024-01-20,false,true
e153,j46,2026-09-20,false,true
e67,j47,2024-12-18,false,true
e397,j48,2025-05-29,false,false
e418,j49,2025-09-28,true,true
e299,j50,2022-09-17,false,false
e273,j51,2026-09-16,true,true
e330,j52,2022-02-01,true,false
e85,j53,2024-06-22,true,false
e216,j54,2024-11-27,false,true
e493,j55,2023-02-03,true,true
e215,j56,2026-07-12,false,true
e3,j57,2026-07-26,true,false
e497,j58,2023-11-08,true,false
e272,j59,2025-07-18,true,false
e223,j60,2025-08-20,true,true
e151,j61,2023-08-14,false,true
e141,j62,2022-05-29,false,true
e109,j63,2024-11-13,true,false
e471,j64,2025-02-15,false,true
e402,j65,2026-11-03,false,true
e62,j66,2025-07-12,true,true
e439,j67,2025-04-21,false,true
e285,j68,2026-05-30,false,false
e241,j69,2025-08-31,true,true
e354,j70,2026-06-28,false,false
e378,j71,2022-01-09,false,false
e410,j72,2025-03-01,false,true
e53,j73,2025-11-08,true,true
e471,j74,2026-08-29,true,false
e239,j75,2026-12-27,true,true
e135,j76,2022-12-19,false,true
