usuario_id,empleo_id,fecha_postulacion,estado,carta_presentacion
u181,j0,2025-03-15,rechazado,false
u1960,j1,2025-12-01,revisado,true
u449,j2,2025-01-11,rechazado,true
u480,j3,2026-01-01,contratado,false
u202,j4,2023-02-09,revisado,false
u1677,j5,2026-12-28,revisado,false
u1123,j6,2025-03-07,rechazado,true
u1980,j7,2023-12-19,rechazado,true
u1077,j8,2022-09-21,contratado,true
u723,j9,2023-11-24,pendiente,true
u715,j10,2022-11-03,pendiente,true
u249,j11,2023-10-24,contratado,false
u396,j12,2024-04-24,pendiente,true
u501,j13,2025-11-21,contratado,true
u1896,j14,2024-12-23,rechazado,false
u727,j15,2022-08-15,contratado,true
u205,j16,2024-01-01,pendiente,false
u1215,j17,2026-10-27,revisado,true
u235,j18,2023-12-27,contratado,false
u207,j19,2023-08-03,revisado,false
u1640,j20,2024-12-27,revisado,true
u234,j21,2026-04-06,revisado,true
u829,j22,2026-07-13,pendiente,true
u159,j23,2023-05-28,rechazado,true
u528,j24,2025-05-25,revisado,true
u2179,j25,2026-08-06,rechazado,true
u1106,j26,2026-05-02,pendiente,true
u560,j27,2026-10-30,contratado,true
u1074,j28,2022-07-18,rechazado,false
u149,j29,2026-05-17,pendiente,false
u439,j30,2025-04-25,pendiente,false
u2130,j31,2022-02-13,revisado,false
u27,j32,2023-04-10,revisado,false
u1073,j33,2024-09-05,pendiente,false
u708,j34,2026-01-31,pendiente,false
u1996,j35,2024-05-04,revisado,true
u671,j36,2024-10-27,revisado,true
u371,j37,2024-10-17,rechazado,false
u1190,j38,2026-06-17,pendiente,true
u1749,j39,2022-04-16,rechazado,true
u1591,j40,2026-10-02,revisado,true
u1200,j41,2022-08-12,revisado,false
u2028,j42,2023-09-21,contratado,true
u1559,j43,2025-11-10,contratado,true
u283,j44,2023-12-17,pendiente,true
u493,j45,2024-01-06,rechazado,true
u1373,j46,2023-04-30,revisado,false
u1274,j47,2023-08-29,rechazado,false
u1715,j48,2022-12-03,pendiente,false
u1931,j49,2022-06-23,contratado,true
u989,j50,2023-08-15,revisado,true
u951,j51,2024-06-30,rechazado,true
u708,j52,2025-03-21,contratado,true
u528,j53,2025-08-31,pendiente,true
u942,j54,2025-12-24,rechazado,false
u926,j55,2026-04-10,contratado,false
u1657,j56,2023-08-07,revisado,false
u1115,j57,2026-10-11,pendiente,false
u1915,j58,2025-05-30,revisado,false
u52,j59,2026-12-03,rechazado,true
u389,j60,2024-08-11,pendiente,true
u2166,j61,2022-06-12,contratado,false
u1054,j62,2026-07-27,revisado,false
u2082,j63,2023-04-03,contratado,false
