usuario_id,empresa_id,fecha_seguimiento,notificaciones,motivo
u1127,e134,2020-01-17,false,ex empleador
u287,e256,2024-11-01,true,interés general
u1430,e28,2023-08-15,false,interés en la industria
u136,e541,2025-02-10,false,cliente potencial
u797,e4,2022-02-13,false,interés general
u586,e513,2025-10-19,false,networking
u561,e1,2019-08-13,true,networking
u1501,e373,2025-09-08,true,cliente potencial
u1725,e148,2024-01-08,false,cliente potencial
u1229,e295,2023-03-18,false,interés en la industria
u1920,e340,2021-11-22,false,trabajo actual
u1689,e421,2024-04-15,false,seguimiento de ofertas
u937,e272,2021-08-01,true,interés general
u1655,e26,2025-09-07,true,networking
u1894,e501,2022-10-04,true,interés en la industria
u1873,e368,2020-06-17,false,trabajo actual
u1720,e365,2025-01-15,false,networking
u1772,e366,2025-03-10,false,networking
u361,e540,2020-01-18,false,networking
u373,e433,2019-04-25,true,interés general
u1636,e404,2022-05-26,true,posible empleador
u89,e369,2025-01-27,false,networking
u1687,e539,2026-12-26,true,ex empleador
u161,e478,2020-03-13,true,posible empleador
u2146,e234,2024-07-16,false,seguimiento de ofertas
u864,e466,2024-11-01,false,ex empleador
u1638,e169,2022-05-03,false,cliente potencial
u1367,e537,2021-04-29,true,cliente potencial
u612,e297,2019-09-20,false,cliente potencial
u475,e48,2025-08-19,true,trabajo actual
u845,e507,2023-09-29,true,seguimiento de ofertas
u819,e253,2024-12-17,true,posible empleador
u32,e467,2024-05-05,false,interés en la industria
u1285,e436,2019-08-05,true,interés general
u1890,e488,2019-05-16,true,posible empleador
u1139,e394,2019-03-11,true,cliente potencial
u1141,e0,2020-04-09,true,networking
u2061,e129,2025-03-07,true,ex empleador
u1039,e162,2022-08-23,true,networking
u2061,e246,2022-09-12,false,interés general
u1358,e385,2025-09-17,false,ex empleador
u631,e104,2019-03-08,true,ex empleador
u1108,e130,2026-11-15,false,interés general
u70,e256,2023-02-03,false,interés general
u1497,e122,2026-12-18,false,posible empleador
u208,e262,2026-07-12,false,ex empleador
u708,e478,2020-05-07,true,ex empleador
u4,e52,2020-08-11,false,ex empleador
u1088,e190,2023-05-03,false,interés general
u1777,e167,2026-02-03,false,trabajo actual
u2150,e173,2023-09-27,false,trabajo actual
u1609,e535,2021-10-19,false,ex empleador
u1365,e358,2026-05-24,false,seguimiento de ofertas
u1389,e515,2026-03-22,false,networking
u242,e234,2022-12-23,false,networking
u1274,e18,2021-02-21,false,posible empleador
u194,e496,2022-01-07,false,posible empleador
u79,e41,2023-09-08,false,networking
u1551,e326,2022-02-24,false,posible empleador
u1461,e407,2022-05-12,true,interés en la industria
u69,e316,2022-06-04,false,posible empleador
u1406,e378,2019-07-05,true,interés en la industria
u157,e193,2026-01-18,false,seguimiento de ofertas
u934,e71,2022-06-06,true,ex empleador
u2098,e105,2019-05-19,false,interés en la industria
u812,e305,2021-11-17,false,cliente potencial
u1587,e539,2021-03-25,true,networking
u2159,e450,2024-06-07,false,ex empleador
u1097,e131,2024-06-30,false,ex empleador
u511,e239,2026-05-13,true,cliente potencial
u723,e195,2025-01-08,false,seguimiento de ofertas
u369,e85,2022-02-23,true,posible empleador
u45,e404,2021-05-24,true,interés en la industria
u2198,e64,2025-09-21,true,trabajo actual
u818,e354,2025-01-26,false,interés en la industria
u694,e396,2023-09-20,true,trabajo actual
u1921,e524,2019-02-21,false,cliente potencial
u1707,e220,2022-06-30,true,interés general
u348,e284,2019-12-14,true,interés en la industria
u1153,e494,2022-03-19,true,trabajo actual
u1881,e406,2019-09-05,false,seguimiento de ofertas
u1439,e239,2025-09-06,true,posible empleador
u1587,e87,2023-10-14,false,seguimiento de ofertas
u772,e296,2025-08-08,false,seguimiento de ofertas
u1636,e539,2024-12-29,false,ex empleador
u1581,e249,2023-05-18,false,trabajo actual
u1116,e245,2025-10-29,false,interés general
u2049,e156,2019-12-19,false,seguimiento de ofertas
u490,e15,2021-04-26,true,posible empleador
u1509,e282,2022-06-24,false,networking
u239,e240,2024-05-14,false,interés general
u1029,e139,2020-10-04,true,networking
u2186,e175,2025-11-25,true,ex empleador
u2096,e171,2025-04-04,false,networking
u1006,e45,2021-04-20,true,cliente potencial
u1713,e436,2020-09-21,true,interés general
u520,e80,2019-05-07,false,posible empleador
u224,e215,2025-01-02,true,interés general
u1949,e404,2021-07-19,true,seguimiento de ofertas
u948,e487,2022-04-24,false,trabajo actual
u1662,e458,2020-12-07,true,posible empleador
u1767,e33,2023-03-05,true,interés general
u604,e479,2025-01-16,true,cliente potencial
u650,e183,2021-07-11,false,interés en la industria
